Fecha;Comprobante;Número Comprobante;Monto Exento;Monto Gravado;Monto Iva Inscripto;Monto Iva No Inscripto;Monto Percepciones DGR;Monto Percepciones Municipal;Monto Total
23/09/2020 08:01:00 p.m.;FAC;A001401288521;0,00;1.270,54;266,81;0,00;6,35;0,00;1.543,70
23/09/2020 08:01:00 p.m.;FAC;A001309378124;0,00;1.416,21;297,40;0,00;7,08;0,00;1.720,69
24/09/2020 11:20:00 a.m.;FAC;A001401288708;18.382,49;0,00;0,00;0,00;91,91;0,00;18.474,40
24/09/2020 12:00:00 p.m.;FAC;A001401288846;2.143,62;0,00;0,00;0,00;10,72;0,00;2.154,34
24/09/2020 04:29:00 p.m.;FAC;A001401288939;279,15;0,00;0,00;0,00;1,40;0,00;280,55
24/09/2020 05:28:00 p.m.;FAC;A001309381864;0,00;92,16;19,35;0,00;0,46;0,00;111,97
24/09/2020 07:46:00 p.m.;FAC;A001401289164;9.862,96;534,32;112,21;0,00;51,99;0,00;10.561,48
24/09/2020 08:02:00 p.m.;FAC;A001309382719;0,00;212,96;44,72;0,00;1,06;0,00;258,74
25/09/2020 11:20:00 a.m.;FAC;A001401289409;6.330,08;0,00;0,00;0,00;31,65;0,00;6.361,73
25/09/2020 12:05:00 p.m.;FAC;A001401289567;4.782,91;0,00;0,00;0,00;23,91;0,00;4.806,82
25/09/2020 07:28:00 p.m.;FAC;A001309387004;0,00;934,33;196,21;0,00;4,67;0,00;1.135,21
25/09/2020 08:00:00 p.m.;FAC;A001401289895;1.730,60;0,00;0,00;0,00;8,65;0,00;1.739,25
25/09/2020 08:18:00 p.m.;FAC;A001309387606;0,00;225,50;47,35;0,00;1,13;0,00;273,98
25/09/2020 08:30:00 p.m.;FAC;A001401289934;0,00;211,70;44,46;0,00;1,06;0,00;257,22
26/09/2020 11:20:00 a.m.;FAC;A001401290071;8.410,92;0,00;0,00;0,00;42,05;0,00;8.452,97
26/09/2020 11:50:00 a.m.;FAC;A001309389731;0,00;429,05;90,10;0,00;2,15;0,00;521,30
26/09/2020 11:50:00 a.m.;FAC;A001309389732;0,00;399,00;83,79;0,00;2,00;0,00;484,79
26/09/2020 07:10:00 p.m.;FAC;A001401290192;632,54;0,00;0,00;0,00;3,16;0,00;635,70
28/09/2020 11:20:00 a.m.;FAC;A001401290394;5.736,65;0,00;0,00;0,00;28,68;0,00;5.765,33
28/09/2020 12:00:00 p.m.;FAC;A001401290533;3.953,47;0,00;0,00;0,00;19,77;0,00;3.973,24
28/09/2020 03:37:00 p.m.;FAC;A001309394237;0,00;2.503,69;525,77;0,00;12,52;0,00;3.041,98
28/09/2020 07:11:00 p.m.;FAC;A001401290760;3.581,02;0,00;0,00;0,00;17,91;0,00;3.598,93
28/09/2020 08:01:00 p.m.;FAC;A001401290883;1.652,29;0,00;0,00;0,00;8,26;0,00;1.660,55
29/09/2020 11:35:00 a.m.;FAC;A001401291126;10.602,71;0,00;0,00;0,00;53,01;0,00;10.655,72
30/09/2020 11:21:00 a.m.;FAC;A001401291499;15.162,36;791,25;166,16;0,00;79,77;0,00;16.199,54
30/09/2020 11:59:00 a.m.;FAC;A001401291649;0,00;360,17;75,64;0,00;1,80;0,00;437,61
30/09/2020 12:00:00 p.m.;FAC;A001401291651;6.270,85;0,00;0,00;0,00;31,35;0,00;6.302,20
30/09/2020 12:06:00 p.m.;FAC;A001401291685;8.265,76;0,00;0,00;0,00;41,33;0,00;8.307,09
30/09/2020 12:08:00 p.m.;FAC;A001401291693;676,22;0,00;0,00;0,00;3,38;0,00;679,60
30/09/2020 12:08:00 p.m.;FAC;A001401291695;3.765,53;0,00;0,00;0,00;18,83;0,00;3.784,36
30/09/2020 04:03:00 p.m.;FAC;A001309404077;0,00;795,58;167,07;0,00;3,98;0,00;966,63
30/09/2020 07:28:00 p.m.;FAC;A001401291911;29.834,57;0,00;0,00;0,00;149,17;0,00;29.983,74
30/09/2020 08:01:00 p.m.;FAC;A001309405107;0,00;1.295,12;271,98;0,00;6,48;0,00;1.573,58
